2	Este texto se dirige principalmente para hombres que cumplan con aquellos criterios .
2	En otro artículo me extenderé más sobre el sano egoísmo o egoísmo positivo pero , por ahora , quédate con esto : cuanto más te centres en ti , más podrás disfrutar .
1	Los hombres tenemos que reflexionar sobre lo que decimos : -en clase -en discusiones en el trabajo -en el gimnasio -en foros en internet y al hablar con otros hombres : -rebatir comentarios machistas -reaccionar ante el maltrato , los piropos a mujeres -discutir cuando se culpabiliza a una víctima -tratar sobre feminismo y la igualdad , la masculinidad y sus normas … 
1	La historia de Binta es la historia de muchos hombres y muchas mujeres que se perdieron en el desierto , en una patera o en un calabozo . 
1	Para fabricar más ropa se necesita mucho algodón y para que haya más cosechas se usan fertilizantes y pesticidas que pueden provocar enfermedades como el cáncer . 
2	El humo del café que empaña mis gafas me ayuda a abstraerme y fantasear .
1	La Asociación Pro Derechos Humanos de Andalucía resalta en su Informe Frontera Sur que cada 100 migrantes , 25 son mujeres .
2	Y esto no ocurre sólo con las jóvenes , sino que las mujeres mayores “ también salen de marcha , también se quieren enrollar con gente ” , y eso es difícil de contar en un juzgado .
1	No la pueden deportar , no puede salir de España y nadie le da trabajo ya que está aún en una situación temporal . 
2	En realidad , suena a sentido común y empatía , ¿ no ?
2	Ese fue el primer día del resto de mi vida .
2	Para fabricar más ropa se necesita mucho algodón y para que haya más cosechas se usan fertilizantes y pesticidas que pueden provocar enfermedades como el cáncer . 
1	Pasó 2 años sin tener relaciones sexuales con nadie . 
2	Pero el conflicto llegó en la adolescencia .
1	Estamos rodeadas de afectos en nuestra vida , pero si no tenemos pareja decimos que “ estamos solas ” . 
2	Así durante toda mi infancia .
1	En una tarde ya tengo lo que me voy a poner . 
2	Si además te dedicas , como es mi caso , al mundo del cine o la televisión , esa contradicción puede por momentos resultar asfixiante , os cuento porqué . 
2	Igual es este sistema conservador , patriarcal y binario el que está enfermo , el que no quiere abrir los ojos a la diversidad .
1	Le hago algo que sé que funciona pero no parece que le guste . 
1	Intenté convencerme de renunciar al amor de pareja , dedicar mi vida a otra cosa , por ejemplo , el deporte de alto nivel . 
1	Es por eso que en muchos países que tienen cultivos se pasa hambre . 
2	Soy un hombre blanco , heterosexual y sin discapacidades .
1	Te acusarán de ser una activista y una desequilibrada .
2	Pero los debates nunca incluyen la posibilidad de tener hijxs ( de ser sus madres ) sin convertirnos por ello en madres . 
1	Más de la mitad usaron la fuerza física , pero solo el 9 % arma blanca .
2	Pensando y trabajando por el bien común , es más fácil aportar y recibir , es más fácil dejar de sentirse solo / a , es más fácil elegir pareja desde la libertad , y es más fácil diversificar afectos .
1	Con la aprobación de la Ley de Seguridad Ciudadana , conocida como Ley Mordaza , pueden mandar de nuevo a su país a los emigrantes sin dar explicaciones . 
1	Las personas que emigran deben por alguna de estas zonas en pateras , balsas de plástico débiles , algunas sin motor . 
2	Has conseguido atraparnos , Lola . 
1	Hemos heredado la idea del amor romántico del siglo XIX a través de cuentos , medios de comunicación o películas , que insisten en que solo hay una manera de amar . 
1	El error : centrar la atención en hacer no en jugar .
1	Insisto para que el operario me ponga un micro . 
1	El acompañamiento Por eso , es muy importante el acompañamiento , que la víctima cuente con apoyo de profesionales desde el inicio .
2	Entre brote y brote y no tener trabajo , me daba por pensar demasiado .
2	Ane hubiera preferido un mensaje tranquilizador , información y más sensibilidad : “ Estás en bragas , desnuda , vulnerable , con las piernas abiertas y una tía que debe informarte , te juzga ” . 
2	Pero lo que realmente me tenía inmovilizada y en casa sumida en una depresión era el no poder volver a ser la de antes de .
2	Binta es y está inquieta , siente las ansias de la libertad .
2	Es la historia de muchas mujeres y hombres que nunca podrán contar porque se perdió en un desierto , en un mar , en una patera , en una concertina , en un Centro de Internamiento para Extranjeros ( CEI ) , en un vuelo de deportación , en un calabozo o entre la inmensidad burocrática de las políticas migratorias .
2	¡ Qué lío ! , ¡ qué contradicción ! 
1	Denunciar puede ayudar a superar un trauma del pasado a la víctima , sentirse acompañada y protegida , servir de protección a otras víctimas y toma de conciencia por parte del agresor . 
2	La maternidad se situa , lo queramos o no sus protagonistas , en el centro , en la única identidad definitoria , en el sujeto mismo .
2	El chico le gustaba , y se sentía preparada para tener sexo con él .
2	Digamos que no empecé con buen pie en esto de ser esclerótica . 
1	Retroceder No tenemos que dar más poder a las mujeres . 
2	Leticia Dolera 07/02/2017 
2	Y al final , si no quieres ser feminista por si te obliga a sentarte y callar la boca , está bien .
2	Caso 2 : mientras desempeño la técnica , siento que tal vez no le esté gustando porque no gime .
1	Callarnos En discusiones sobre feminismo no debemos hablar . 
1	– ¿ Y si quiero decir algo al bajar las escaleras ?
2	Es un proceso bidireccional .
1	La pareja sirve para procrear , consumir y no pensar en la sociedad . 
